id,title,overview,genres,vote_average,vote_count,popularity,poster_path
302946,The Accountant,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise.","80,53,18",7.1,6520,107.9884,/fceheXB5fC4WrLVuWJ6OZv9FXYr.jpg
335984,Blade Runner 2049,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years.","878,18",7.579,14095,112.0701,/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg
1180906,Desert Dawn,A newly appointed small-town sheriff and his begrudging deputy get tangled up in a web of lies and corruption involving shady businessmen and the cartel while investigating the murder of a mysterious woman.,"28,80,9648,53",0.0,0,125.561,/S21BfLrJSD9njucBfY3CKqp8rD.jpg
1276073,Bullet Train Explosion,"When panic erupts on a Tokyo-bound bullet train that will explode if it slows below 100 kph, authorities race against time to save everyone on board.","28,53,80,18",6.9,145,115.0065,/jmzxlDBwgvRbpPJzNQwizyn9UEn.jpg
1249213,Drop,"Violet, a widowed mother on her first date in years, arrives at an upscale restaurant where she is relieved that her date, Henry, is more charming and handsome than she expected. But their chemistry begins to curdle as Violet begins being irritated and then terrorized by a series of anonymous drops to her phone.","9648,53",6.564,258,107.9021,/dS2S5lpfgRIRQOb7LDCjNsQqKjp.jpg
1136721,The Glenarma Tapes,In Spring 2020 when five students and two faculty members from the Mid Ulster College of Art go missing in a forest on the north coast of Ireland. What happened on the day they disappeared has remained a mystery - until now.,27,7.1,7,124.7378,/m0kojZkP1vcK9F8XSWfw9haJHKz.jpg
1092899,The Siege,"International assassin Walker is compromised during a mission and sent to a reassignment center for a new identity. During his stay at the facility, a ruthless assault team storms the compound searching for someone their boss has lost. Walker begrudgingly falls in with skilled hitwoman Elda and her mysterious ward Juliet in order to survive the night.","28,53",5.448,48,103.1116,/hVh4hMzkXNLnScudbid6hDvjMPk.jpg
1241982,Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.","16,12,10751,35",7.079,2325,107.7958,/aLVkiINlIeCkcZIzb7XHzPYgO6L.jpg
436969,The Suicide Squad,"Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.","28,35,12",7.5,8874,64.0684,/q61qEyssk2ku3okWICKArlAdhBn.jpg
1403735,Laila,"Sonu Model, a renowned beautician from the old city, is forced to disguise himself as Laila, leading to a series of comedic, romantic, and action-packed events. Chaos ensues in this hilarious laugh riot","35,10749",5.0,3,105.011,/l4gsNxFPGpzbq0D6QK1a8vO1lBz.jpg
1045938,G20,"After the G20 Summit is overtaken by terrorists, President Danielle Sutton must bring all her statecraft and military experience to defend her family and her fellow leaders.","28,9648,18",6.583,453,90.561,/wv6oWAleCJZUk5htrGg413t3GCy.jpg
1195506,Novocaine,"When the girl of his dreams is kidnapped, everyman Nate turns his inability to feel pain into an unexpected strength in his fight to get her back.","28,35,53",6.921,699,92.8192,/xmMHGz9dVRaMY6rRAlEX4W0Wdhm.jpg
1307520,The Biggest Fan,"Canceled in Hollywood, star Lana Cruz heads to her hometown for a comeback. Enter Polly, her fan-turned-frenemy. Can Lana dodge drama and reclaim her fame?",35,5.1,12,98.7524,/wgUmsekYPOt9ZQ8ero91qRnmhQY.jpg
762509,Mufasa: The Lion King,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.","12,10751,16",7.411,2066,88.5811,/lurEK87kukWNaHd0zYnsi3yzJrs.jpg
974576,Conclave,"After the unexpected death of the Pope, Cardinal Lawrence is tasked with managing the covert and ancient ritual of electing a new one. Sequestered in the Vatican with the Catholic Church’s most powerful leaders until the process is complete, Lawrence finds himself at the center of a conspiracy that could lead to its downfall.","18,53,9648",7.197,2330,100.55,/l4WXg5oQPK6GVlISKQNIUGb8rKJ.jpg
678512,Sound of Freedom,"The story of Tim Ballard, a former US government agent, who quits his job in order to devote his life to rescuing children from global sex traffickers.","28,18",7.991,2535,65.3333,/kSf9svfL2WrKeuK8W08xeR5lTn8.jpg
496243,Parasite,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.","35,53,18",8.5,19008,66.4824,/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg
870028,The Accountant²,"When an old acquaintance is murdered, Wolff is compelled to solve the case. Realizing more extreme measures are necessary, Wolff recruits his estranged and highly lethal brother, Brax, to help. In partnership with Marybeth Medina, they uncover a deadly conspiracy, becoming targets of a ruthless network of killers who will stop at nothing to keep their secrets buried.","80,53,28",7.239,134,83.1512,/kMDUS7VmFhb2coRfVBoGLR8ADBt.jpg
567609,Ready or Not,A young bride's wedding night turns into her worst nightmare when her ridiculously rich in-laws force her to play a gruesome game of hide-and-seek.,"27,35",7.035,4766,51.8672,/oJD9KQFoObZmxAS1je56SIFVNJt.jpg
